ain3[N],ain4[N],ain5[N]
0.000,2.426,5.922
0.000,2.512,6.578
0.000,2.512,6.578
0.000,2.742,6.812
0.000,2.742,6.812
0.000,2.840,7.055
0.000,2.840,7.055
0.000,2.840,7.435
0.000,2.648,6.933
0.000,2.648,6.933
0.000,2.791,5.719
0.000,2.791,5.719
0.000,2.557,4.885
0.000,2.557,4.885
0.000,2.262,3.628
0.000,2.262,3.628
0.000,2.302,2.840
0.000,2.302,2.840
0.000,2.302,2.840
0.000,2.072,2.343
0.000,2.072,2.343
0.000,2.001,1.710
0.000,2.001,1.710
0.000,2.037,1.512
0.000,2.037,1.512
0.000,1.866,1.362
0.000,1.770,1.435
0.000,1.770,1.435
0.000,1.802,1.512
0.000,1.802,1.512
0.000,1.802,1.622
0.000,1.802,1.622
0.000,1.770,1.622
0.000,1.770,1.622
0.000,1.770,1.622
0.000,1.802,1.594
0.000,1.802,1.594
0.000,1.740,1.710
0.000,1.740,1.710
0.000,1.834,1.680
0.000,1.834,1.680
0.000,1.932,1.740
0.000,1.966,1.680
0.000,1.966,1.680
0.000,1.899,1.566
0.000,1.899,1.566
0.000,1.932,1.512
0.000,1.932,1.512
0.000,1.932,1.539
0.000,2.557,2.742
0.000,2.557,2.557
0.000,2.557,2.469
0.000,2.512,2.426
0.000,2.512,2.343
0.000,2.426,2.302
0.000,2.343,2.223
0.000,2.184,2.072
0.000,2.146,2.001
0.000,2.146,2.037
0.000,2.072,2.001
0.000,2.037,1.966
0.000,1.932,1.899
0.000,2.109,1.932
0.000,2.109,1.899
0.000,2.109,1.899
0.000,2.072,1.899
0.000,2.072,1.899
0.000,2.109,2.001
0.000,2.109,2.001
0.000,2.223,2.037
0.000,2.223,2.037
0.000,2.343,2.001
0.000,2.343,2.001
0.000,2.602,2.302
0.000,2.602,2.302
0.000,3.099,2.840
0.000,3.099,2.840
0.688,4.247,3.565
0.688,4.247,3.565
0.700,5.149,4.555
0.700,5.149,4.555
0.700,6.133,5.332
0.700,6.133,5.332
0.700,6.133,5.332
0.713,7.700,6.694
0.713,7.700,6.694
0.725,9.499,7.306
0.725,9.499,7.306
0.738,11.316,8.404
0.738,11.316,8.404
0.751,13.961,10.011
0.751,13.961,10.011
0.751,14.973,10.737
0.751,14.973,10.737
0.751,14.973,10.737
0.751,15.237,11.719
0.751,15.237,11.719
0.751,15.506,10.737
0.751,15.506,10.737
0.751,15.780,11.926
0.751,15.780,11.926
0.751,15.237,11.719
0.751,15.237,11.719
0.738,14.207,11.926
0.738,14.207,11.926
0.738,12.791,11.719
0.738,12.791,11.719
0.738,12.791,11.719
0.725,11.516,10.927
0.725,11.516,10.927
0.725,11.120,10.011
0.725,11.120,10.011
0.713,8.857,8.704
0.713,8.857,8.704
0.700,7.435,7.974
0.700,7.435,7.974
0.688,6.812,6.578
0.688,6.812,6.578
0.688,5.922,5.522
0.688,5.922,5.522
0.688,4.885,4.247
0.688,4.885,4.247
0.688,4.476,3.267
0.688,4.476,3.267
0.688,3.503,2.941
0.688,3.503,2.941
0.000,2.840,2.840
0.000,2.840,2.840
0.000,2.557,2.302
0.000,2.557,2.302
0.000,2.384,2.146
0.000,2.384,2.146
0.000,2.512,2.109
0.000,2.512,2.109
0.000,2.512,2.109
0.000,2.512,2.109
0.000,2.557,2.072
0.000,2.557,2.072
0.000,2.648,2.109
0.000,2.648,2.109
0.000,2.648,2.072
0.000,2.648,2.072
0.000,2.695,2.072
0.000,2.695,2.072
0.000,2.648,2.109
0.000,2.648,2.109
0.000,2.648,2.001
0.000,2.648,2.001
0.000,2.602,2.037
0.000,2.602,2.037
0.000,2.469,2.072
0.000,2.469,2.072
0.000,2.469,2.072
0.000,2.426,2.072
0.000,2.426,2.072
0.000,2.343,2.072
0.000,2.343,2.072
0.000,2.262,2.072
0.000,2.262,2.072
0.000,2.001,2.001
0.000,2.001,2.001
0.000,2.001,2.001
0.000,1.802,2.001
0.000,1.802,2.001
0.000,1.566,1.899
0.000,1.566,1.899
0.000,1.410,1.866
0.000,1.410,1.866
0.000,1.315,1.740
0.000,1.315,1.740
0.000,1.338,1.740
0.000,1.338,1.740
0.000,1.338,1.740
0.000,1.226,1.710
0.000,1.226,1.710
0.000,1.163,1.622
0.000,1.163,1.622
0.000,1.085,1.512
0.000,1.163,1.460
0.000,1.163,1.460
0.000,1.248,1.248
0.000,1.248,1.248
0.000,1.270,1.163
0.000,1.270,1.163
0.000,1.315,1.143
0.000,1.315,1.143
0.000,1.315,1.066
0.000,1.315,1.066
0.000,1.338,1.226
0.000,1.338,1.226
0.000,1.338,1.338
0.000,1.338,1.338
0.000,1.338,1.338
0.000,1.338,1.338
0.000,1.362,1.362
0.000,1.362,1.362
0.000,1.338,1.386
0.000,1.338,1.386
0.000,1.338,1.386
0.000,1.362,1.362
0.000,1.362,1.362
0.000,1.362,1.386
0.000,1.362,1.386
0.000,1.338,1.435
0.000,1.338,1.435
0.000,1.292,1.460
0.000,1.292,1.460
0.000,1.292,1.460
0.000,1.292,1.460
0.000,1.315,1.512
0.000,1.315,1.512
0.000,1.338,1.410
0.000,1.338,1.410
0.000,1.362,1.435
0.000,1.362,1.435
0.000,1.386,1.435
0.000,1.386,1.435
0.000,1.386,1.386
0.000,1.386,1.386
0.000,1.386,1.386
0.000,1.386,1.386
0.000,1.386,1.386
0.000,1.410,1.386
0.000,1.410,1.386
0.000,1.386,1.362
0.000,1.386,1.362
0.000,1.386,1.386
0.000,1.386,1.386
0.000,1.338,1.435
0.000,1.338,1.435
0.000,1.338,1.435
0.000,1.338,1.435
0.000,1.338,1.435
0.000,1.338,1.435
0.000,1.338,1.435
0.000,1.338,1.435
0.000,1.338,1.435
0.000,1.338,1.435
0.000,1.338,1.435
0.000,1.338,1.435
0.000,1.362,1.435
0.000,1.362,1.435
0.000,1.362,1.410
0.000,1.362,1.410
0.000,1.362,1.435
0.000,1.386,1.460
0.000,1.386,1.460
0.000,1.460,1.566
0.000,1.460,1.566
0.000,1.802,1.710
0.000,2.384,2.223
0.000,2.384,2.223
0.688,5.332,3.383
0.713,9.499,5.820
0.713,9.499,5.820
0.725,13.247,8.704
0.738,16.342,10.011
0.738,16.342,10.011
0.751,18.798,13.247
0.764,20.879,15.237
0.764,20.879,15.237
0.764,22.788,16.342
0.764,22.788,16.342
0.778,24.016,16.630
0.778,24.016,16.630
0.778,24.016,15.780
0.778,24.016,15.780
0.764,22.393,14.713
0.751,20.879,13.718
0.751,20.879,13.718
0.738,18.472,10.927
0.738,18.472,10.927
0.725,15.237,8.704
0.725,15.237,8.704
0.725,15.237,7.700
0.725,16.342,7.435
0.725,16.342,7.435
0.738,18.472,8.704
0.738,18.472,8.704
0.751,20.517,10.188
0.751,22.004,10.551
0.751,22.004,10.551
0.751,22.004,10.368
0.751,22.004,10.368
0.738,21.622,9.667
0.738,21.622,9.667
0.725,20.517,8.115
0.713,18.472,7.306
0.713,18.472,7.306
0.700,16.924,6.694
0.700,16.924,6.694
0.700,14.458,5.922
0.700,14.458,5.922
0.700,12.137,5.332
0.700,12.137,5.332
0.688,10.188,4.972
0.688,7.836,4.398
0.688,7.836,4.398
0.688,6.352,4.173
0.688,6.352,4.173
0.688,4.801,3.891
0.688,4.801,3.891
0.688,3.692,3.503
0.000,2.512,2.941
0.000,2.512,2.941
0.000,2.072,2.890
0.000,2.072,2.890
0.000,1.770,2.742
0.000,1.770,2.742
0.000,1.594,2.602
0.000,1.594,2.602
0.000,1.594,2.840
0.000,1.594,2.840
0.000,1.539,2.602
